Salesforce_Table,Sensible_Python_Key,Actual_Salesforce_API_Name,Data_Type,Description,ScriptsUsing
Cert_Audit__c,audit_cert_case,Cert_Case__c,,,FALSE
Cert_Audit__c,audit_cert_certification_type,Cert_Certification_Type__c,,,FALSE
Cert_Audit__c,audit_cert_contact,Cert_Contact__c,,,TRUE
Cert_Audit__c,audit_leg_audit_number,Cert_Legacy_Audit_Number__c,,,FALSE
Cert_Audit__c,audit_leg_auditor,Cert_Legacy_Auditor__c,,,FALSE
Cert_Audit__c,audit_leg_canceling_req_date,Cert_Legacy_Canceling_Request_Date__c,,,FALSE
Cert_Audit__c,audit_leg_cert_review_notes,Cert_Legacy_Cert_Review_Notes__c,,,FALSE
Cert_Audit__c,audit_leg_last_cert_review_notes,Cert_Legacy_Last_Cert_Review_Notes__c,,,FALSE
Cert_Audit__c,audit_legid,Cert_LegacyID__c,,,FALSE
Cert_Audit__c,audit_leguniqueid,Cert_LegacyUniqueID__c,,,FALSE
Cert_Audit__c,audit_cert_number_of_files,Cert_Number_of_Files__c,,,FALSE
Cert_Audit__c,audit_cert_parent_audit,Cert_Parent_Audit__c,,,FALSE
Cert_Audit__c,audit_reschedule_reason,Cert_Reschedule_Reason__c,,,FALSE
Cert_Audit__c,audit_cert_sched_notes,Cert_Scheduling_Notes__c,,,FALSE
Cert_Audit__c,audit_check_box,Check_Box__c,,,FALSE
Cert_Audit__c,audit_profile_change,Company_Profile_Change_Form__c,,,TRUE
Cert_Audit__c,audit_createdbyid,CreatedById,,,FALSE
Cert_Audit__c,audit_createddate,CreatedDate,,,FALSE
Cert_Audit__c,audit_crg_review_status,CRG_Review_Status__c,,,FALSE
Cert_Audit__c,audit_expedited,Expedited__c,,,FALSE
Cert_Audit__c,audit_pu_explanation,Explanation_for_Profile_Change_Form__c,,,TRUE
Cert_Audit__c,audit_exp_fab_travel,Explanation_of_Fab_Process_Travel__c,,,FALSE
Cert_Audit__c,audit_exp_supp_travel,Explanation_of_Support_Process_Travel__c,,,FALSE
Cert_Audit__c,audit_ext_resched_reason,Ext_Reschedule_Reason__c,,,FALSE
Cert_Audit__c,audit_id,Id,Id,The unique custom object ID tracking a specific audit file,TRUE
Cert_Audit__c,audit_strengths,Identified_Strengths__c,,,FALSE
Cert_Audit__c,audit_isdeleted,IsDeleted,,,FALSE
Cert_Audit__c,audit_islastyear,IsLastYear__c,,,FALSE
Cert_Audit__c,audit_lastactivitydate,LastActivityDate,,,FALSE
Cert_Audit__c,audit_lastmodifiedbyid,LastModifiedById,,,FALSE
Cert_Audit__c,audit_lastmodifieddate,LastModifiedDate,,,FALSE
Cert_Audit__c,audit_lastreferenceddate,LastReferencedDate,,,FALSE
Cert_Audit__c,audit_lastvieweddate,LastViewedDate,,,FALSE
Cert_Audit__c,audit_name,Name,,,TRUE
Cert_Audit__c,audit_ownerid,OwnerId,,,FALSE
Cert_Audit__c,audit_principal_contact,Principal_Contact__c,,,FALSE
Cert_Audit__c,audit_qc_contact,QC_Contact__c,,,FALSE
Cert_Audit__c,audit_reassignment_notes,Reassignment_Notes__c,,,FALSE
Cert_Audit__c,audit_reassignment_reason,Reassignment_Reason__c,,,FALSE
Cert_Audit__c,audit_rec_time_change,Recommend_Audit_Time_Change__c,,,FALSE
Cert_Audit__c,audit_reschedule_fee,Reschedule_Fee__c,,,FALSE
Cert_Audit__c,audit_s1_job_description,Sample_1_Job_Description__c,,,FALSE
Cert_Audit__c,audit_s1_job_location,Sample_1_Job_Location__c,,,FALSE
Cert_Audit__c,audit_s1_moyr,Sample_1_MO_YR__c,,,FALSE
Cert_Audit__c,audit_s1_mock_exercise,Sample_1_Mock_Exercise__c,,,FALSE
Cert_Audit__c,audit_s1_scopes,Sample_1_Scopes__c,,,FALSE
Cert_Audit__c,audit_s2,Sample_2__c,,,FALSE
Cert_Audit__c,audit_s2_job_description,Sample_2_Job_Description__c,,,FALSE
Cert_Audit__c,audit_s2_job_location,Sample_2_Job_Location__c,,,FALSE
Cert_Audit__c,audit_s2_mock_exercise,Sample_2_Mock_Exercise__c,,,FALSE
Cert_Audit__c,audit_s2_moyr_completed,Sample_2_Month_Year_Completed__c,,,FALSE
Cert_Audit__c,audit_s2_scopes,Sample_2_Scopes__c,,,FALSE
Cert_Audit__c,audit_s3_job_location,Sample_3_Job_Location__c,,,FALSE
Cert_Audit__c,audit_s3_mock_exercise,Sample_3_Mock_Exercise__c,,,FALSE
Cert_Audit__c,audit_s3_moyr_completed,Sample_3_Month_Year_Completed__c,,,FALSE
Cert_Audit__c,audit_s3_project_status,Sample_3_Project_Status__c,,,FALSE
Cert_Audit__c,audit_s3_scopes,Sample_3_Scopes__c,,,FALSE
Cert_Audit__c,audit_s4_job_location,Sample_4_Job_Location__c,,,FALSE
Cert_Audit__c,audit_s4_mock_exercise,Sample_4_Mock_Exercise__c,,,FALSE
Cert_Audit__c,audit_s4_moyr_completed,Sample_4_Month_Year_Completed__c,,,FALSE
Cert_Audit__c,audit_s4_project_status,Sample_4_Project_Status__c,,,FALSE
Cert_Audit__c,audit_s4_scopes,Sample_4_Scopes__c,,,FALSE
Cert_Audit__c,audit_sample_project_status,Sample_Project_Status__c,,,FALSE
Cert_Audit__c,audit_se1_3_docs_needed,SE1_3_Docs_Needed__c,,,FALSE
Cert_Audit__c,audit_systemmodstamp,SystemModstamp,,,FALSE
Cert_Audit__c,audit_travel_for_fab,Travel_for_Fabrication_Processes__c,,,FALSE
Cert_Audit__c,audit_travel_for_supp,Travel_for_Support_Processes__c,,,FALSE
Company_Profile_Change__c,],Account__c,Lookup (Account),Automatically healed via Clean_Cert_ID if left blank by submitter,TRUE
Company_Profile_Change__c,pu_ap_email,AP_Email__c,,,TRUE
Company_Profile_Change__c,pu_ap_first_name,AP_First_Name__c,,,TRUE
Company_Profile_Change__c,pu_ap_last_name,AP_Last_Name__c,,,TRUE
Company_Profile_Change__c,pu_ap_phone,AP_Phone__c,,,TRUE
Company_Profile_Change__c,pu_ap_title,AP_Title__c,,,TRUE
Company_Profile_Change__c,pu_cert_email,Cert_Email__c,,,TRUE
Company_Profile_Change__c,pu_cert_first_name,Cert_First_Name__c,,,TRUE
Company_Profile_Change__c,pu_cert_last_name,Cert_Last_Name__c,,,TRUE
Company_Profile_Change__c,pu_cert_phone,Cert_Phone__c,,,TRUE
Company_Profile_Change__c,pu_cert_title,Cert_Title__c,,,TRUE
Company_Profile_Change__c,pu_certificationid,Certification_ID__c,,,TRUE
Company_Profile_Change__c,pu_comments,Comments__c,,,TRUE
Company_Profile_Change__c,pu_createdbyid,CreatedById,,,FALSE
Company_Profile_Change__c,pu_created,CreatedDate,,,TRUE
Company_Profile_Change__c,pu_q_cert_change,Did_the_Cert_contact_change__c,,,TRUE
Company_Profile_Change__c,pu_q_executive_change,Did_the_executive_manager_change__c,,,TRUE
